Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
3005,8,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,1e+06,250000.0,8.0,0.0,8,8,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,125000.0,125000.0,2,6,3.3333333,2.309401,5.3333335,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
80,3007319,5,6,309,11595,309,0,61.8,138.189,5792,0,1932.5,2534.0515,3958.343,3.657743,300731.9,675657.5,2003725,49,3006831,751707.75,957906.75,2003725,786,4500,900.0,1768.6836,4062,49,0,0,0,0,184,200,1.6626104,1.9951326,0,5792,992.0,1972.565,3.8910125e+06,0,0,0,1,0,0,0,0,1,1082.1818,61.8,1932.5,184,0,0,0,0,0,0,5,309,6,11595,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0
443,128533,6,6,1418,3912,763,0,236.33333,325.66403,1590,0,652.0,713.39636,41467.95,93.36124,11684.818,15464.857,33486,39,97638,19527.6,16827.773,33747,467,98368,19673.6,17522.096,33992,212,0,0,0,0,132,132,46.68062,46.68062,0,1590,410.0,560.90717,314616.84,0,0,0,1,0,0,0,0,1,444.16666,236.33333,652.0,132,0,0,0,0,0,0,6,1418,6,3912,8192,135,5,20,0.0,0.0,0,0,0.0,0.0,0,0
3517,41,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,146341.47,48780.49,41.0,0.0,41,41,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,24390.244,24390.244,0,6,2.0,3.4641016,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
53,249,2,2,64,256,32,32,32.0,0.0,128,128,128.0,0.0,1.2851405e+06,16064.257,83.0,102.10289,198,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,40,40,8032.1284,8032.1284,32,128,70.4,52.581364,2764.8,0,0,0,0,0,0,0,0,1,88.0,32.0,128.0,40,0,0,0,0,0,0,2,64,2,256,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
80,4556854,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,6.5834894,1.0972482,1.1392135e+06,2.2764085e+06,4553826,3,4556854,1.1392135e+06,2.2764085e+06,4553826,3,0,0.0,0.0,0,0,0,0,0,0,100,0,1.0972482,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0
53,24161,2,2,68,132,34,34,34.0,0.0,66,66,66.0,0.0,8277.803,165.55606,8053.6665,13905.211,24110,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,40,40,82.77803,82.77803,34,66,46.8,17.527122,307.2,0,0,0,0,0,0,0,0,1,58.5,34.0,66.0,40,0,0,0,0,0,0,2,68,2,132,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
1033,45,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,133333.33,44444.445,45.0,0.0,45,45,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,22222.223,22222.223,0,6,2.0,3.4641016,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
80,29561,3,5,305,11595,305,0,101.666664,176.09183,5803,0,2319.0,2634.0579,402557.44,270.62683,4223.0,9371.808,25234,2,3875,1937.5,2737.2104,3873,2,29557,7389.25,12040.255,25234,16,0,0,0,0,104,168,101.48506,169.14177,0,5803,1322.2222,2207.9524,4.8750535e+06,0,0,0,1,0,0,0,0,1,1487.5,101.666664,2319.0,104,0,0,0,0,0,0,3,305,5,11595,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0
60105,4,2,0,37,0,31,6,18.5,17.67767,0,0,0.0,0.0,9.25e+06,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,1,0,0,0,40,0,500000.0,0.0,6,31,22.666666,14.433757,208.33333,0,1,0,0,1,0,0,0,0,34.0,18.5,0.0,40,0,0,0,0,0,0,2,37,0,0,85,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
80,234,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,8547.009,234.0,0.0,234,234,234,234.0,0.0,234,234,0,0.0,0.0,0,0,0,0,0,0,64,0,8547.009,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,86431785,7,7,403,11595,385,0,57.57143,144.41359,5792,0,1656.4286,2429.1187,138.81467,0.16197746,6.648599e+06,2.37e+07,85400000,1,86400000,1.44e+07,3.48e+07,85400000,1,86400000,1.44e+07,3.53e+07,86400000,3,0,0,0,0,204,232,0.08098873,0.08098873,0,5792,800.26666,1795.8676,3.22514e+06,1,0,0,0,0,0,0,0,1,857.4286,57.57143,1656.4286,204,0,0,0,0,0,0,7,403,7,11595,0,235,3,20,5997.0,0.0,5997,5997,8.54e+07,0.0,85400000,85400000
80,85896060,9,7,347,11595,347,0,38.555557,115.666664,4344,0,1656.4286,1757.579,139.02849,0.18627164,5.726404e+06,2.21e+07,85700000,1,85700000,1.07e+07,3.03e+07,85700000,1,190457,31742.834,70514.81,175162,2,0,0,0,0,296,232,0.1047778,0.08149384,0,4344,702.4706,1357.2098,1.8420186e+06,0,0,0,0,1,0,0,0,0,746.375,38.555557,1656.4286,296,0,0,0,0,0,0,9,347,7,11595,274,235,1,32,1970.0,0.0,1970,1970,8.57e+07,0.0,85700000,85700000
80,5,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,400000.0,5.0,0.0,5,5,5,5.0,0.0,5,5,0,0.0,0.0,0,0,0,0,0,0,64,0,400000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
445,875,2,1,8,2,6,2,4.0,2.828427,2,2,2.0,0.0,11428.571,3428.5715,437.5,426.38538,739,136,875,875.0,0.0,875,875,0,0.0,0.0,0,0,0,0,0,0,44,24,2285.7144,1142.8572,2,6,3.0,2.0,4.0,0,0,0,1,0,0,0,0,0,4.0,4.0,2.0,44,0,0,0,0,0,0,2,8,1,2,1024,29200,1,20,0.0,0.0,0,0,0.0,0.0,0,0
9485,41,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,146341.47,48780.49,41.0,0.0,41,41,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,24390.244,24390.244,0,6,2.0,3.4641016,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
80,98374313,6,7,385,11595,367,0,64.166664,148.38655,5792,0,1656.4286,2429.1187,121.779755,0.13214833,8.1978595e+06,2.84e+07,98400000,3,98400000,1.97e+07,4.4e+07,98400000,466,98400000,1.64e+07,4.02e+07,98400000,3,0,0,0,0,164,232,0.06099153,0.071156785,0,5792,856.1429,1849.8046,3.4217768e+06,1,0,0,0,0,0,0,0,1,922.0,64.166664,1656.4286,164,0,0,0,0,0,0,6,385,7,11595,0,235,3,20,11989.0,0.0,11989,11989,9.84e+07,0.0,98400000,98400000
80,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.7,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.7,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,7268122,2,2,96,283,49,47,48.0,1.4142135,175,108,141.5,47.376156,52.14552,0.5503485,2.4227072e+06,4.119462e+06,7179405,25967,7205372,7.205372e+06,0.0,7205372,7205372,7242155,7.242155e+06,0.0,7242155,7242155,0,0,0,0,52,52,0.27517426,0.27517426,47,175,85.2,56.59682,3203.2,0,0,0,0,0,0,0,0,1,106.5,48.0,141.5,52,0,0,0,0,0,0,2,96,2,283,-1,-1,1,20,25967.0,0.0,25967,25967,7.179405e+06,0.0,7179405,7179405
22,70,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,28571.428,70.0,0.0,70,70,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,14285.714,14285.714,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,0,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,4586.6006,109.476,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,64,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,63095,1,1,50,128,50,50,50.0,0.0,128,128,128.0,0.0,2821.1428,31.698233,63095.0,0.0,63095,63095,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,40,15.849116,15.849116,50,128,76.0,45.03332,2028.0,0,0,0,0,0,0,0,0,1,114.0,50.0,128.0,32,0,0,0,0,0,0,1,50,1,128,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
9943,69,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,86956.52,28985.508,69.0,0.0,69,69,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,14492.754,14492.754,0,6,2.0,3.4641016,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
443,2193319,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.8237201,731106.3,1.2223142e+06,2142205,13,2193319,1.0966595e+06,1.4786246e+06,2142205,51114,0,0.0,0.0,0,0,0,0,0,0,72,32,1.3677901,0.45593002,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,72,0,0,0,0,0,0,3,0,1,0,8192,26883,0,20,0.0,0.0,0,0,0.0,0.0,0,0
445,1003,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3988.036,334.33334,469.38718,876,47,1003,501.5,596.091,923,80,0,0.0,0.0,0,0,0,0,0,0,104,40,2991.0269,997.009,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,105625430,16,3,2541,6,231,0,158.8125,110.58283,6,0,2.0,3.4641016,24.113512,0.17988093,5.8680795e+06,1.25e+07,51300000,76,106000000,7.0416905e+06,1.35e+07,51300000,385,103000000,5.13e+07,2.81e+07,71200000,31500000,0,0,0,0,536,100,0.15147868,0.02840225,0,231,127.35,117.573395,13823.503,0,0,0,1,0,0,0,0,0,134.05263,158.8125,2.0,536,0,0,0,0,0,0,16,2541,3,6,29200,0,11,32,4.7094985e+06,6.659121e+06,9418208,789,1.92e+07,1.88e+07,51300000,5798620
1875,43,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,186046.52,46511.63,43.0,0.0,43,43,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,23255.814,23255.814,2,6,3.3333333,2.309401,5.3333335,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
3546,23,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,260869.56,86956.52,23.0,0.0,23,23,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,43478.26,43478.26,0,6,2.0,3.4641016,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
80,6053322,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.964765,0.6607942,2.017774e+06,3.4942322e+06,6052566,322,6053322,2.017774e+06,3.4942322e+06,6052566,322,0,0.0,0.0,0,0,0,0,0,0,80,0,0.6607942,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,756.0,0.0,756,756,6.052566e+06,0.0,6052566,6052566
443,1855076,8,5,404,3378,223,0,50.5,81.33528,1460,0,675.6,733.01996,2038.7305,7.007799,154589.67,317453.47,1074155,3,1855076,265010.84,389273.66,1074155,3,675358,168839.5,238850.8,506870,168,0,0,0,0,172,112,4.312492,2.6953073,0,1460,270.14285,517.1281,267421.53,0,0,0,1,0,0,0,0,0,290.92307,50.5,675.6,172,0,0,0,0,0,0,8,404,5,3378,8192,60,7,20,0.0,0.0,0,0,0.0,0.0,0,0
80,82197735,8,6,330,11595,330,0,41.25,116.67262,4344,0,1932.5,1977.8129,145.077,0.17032099,6.3229025e+06,2.28e+07,82000000,4,82100000,1.17e+07,3.1e+07,82000000,4,152526,30505.2,60489.17,138186,92,0,0,0,0,264,200,0.097326286,0.07299471,0,4344,795.0,1525.8389,2.3281845e+06,0,0,0,0,1,0,0,0,0,851.7857,41.25,1932.5,264,0,0,0,0,0,0,8,330,6,11595,296,235,1,32,1257.0,0.0,1257,1257,8.2e+07,0.0,82000000,82000000
53,946,1,1,43,87,43,43,43.0,0.0,87,87,87.0,0.0,137420.72,2114.1648,946.0,0.0,946,946,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,1057.0824,1057.0824,43,87,57.666668,25.403412,645.3333,0,0,0,0,0,0,0,0,1,86.5,43.0,87.0,32,0,0,0,0,0,0,1,43,1,87,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,179,2,2,76,238,38,38,38.0,0.0,119,119,119.0,0.0,1.75419e+06,22346.37,59.666668,62.96295,128,4,4,4.0,0.0,4,4,47,47.0,0.0,47,47,0,0,0,0,40,40,11173.185,11173.185,38,119,70.4,44.36553,1968.3,0,0,0,0,0,0,0,0,1,88.0,38.0,119.0,40,0,0,0,0,0,0,2,76,2,238,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
80,100340975,8,4,56,11601,20,0,7.0,5.656854,8760,0,2900.25,4128.3193,116.173874,0.11959222,9.121907e+06,2.66e+07,88700000,1,100000000,1.43e+07,3.31e+07,88700000,1,178702,59567.332,83727.37,155331,185,0,0,0,0,172,92,0.07972815,0.039864074,0,8760,897.1539,2488.507,6.1926675e+06,0,0,0,0,1,0,0,0,0,971.9167,7.0,2900.25,172,0,0,0,0,0,0,8,56,4,11601,256,229,6,20,3996.0,0.0,3996,3996,5.01e+07,5.46e+07,88700000,11500000
80,2073974,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,14.464984,2.4108305,518493.5,1.0343174e+06,2069967,0,2073974,518493.5,1.0343174e+06,2069967,0,0,0.0,0.0,0,0,0,0,0,0,100,0,2.4108305,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0
80,11968227,8,5,465,11632,465,0,58.125,164.40233,7288,0,2326.4,3351.2905,1010.7596,1.0862093,997352.25,2.3659202e+06,6962558,1,6964959,994994.1,2.6322645e+06,6964409,1,12000000,2.9920435e+06,3.5457525e+06,6962558,127,0,0,0,0,264,168,0.6684365,0.41777283,0,7288,864.0714,2179.429,4.74991e+06,0,0,0,1,0,0,0,0,0,930.53845,58.125,2326.4,264,0,0,0,0,0,0,8,465,5,11632,29200,235,1,32,628.0,0.0,628,628,6.962558e+06,0.0,6962558,6962558
50800,44,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,136363.64,45454.547,44.0,0.0,44,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,22727.273,22727.273,0,6,2.0,3.4641016,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
80,5069895,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,4.7338257,0.78897095,1.689965e+06,2.9262565e+06,5068915,1,5069895,1.689965e+06,2.9262565e+06,5068915,1,0,0.0,0.0,0,0,0,0,0,0,80,0,0.78897095,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,980.0,0.0,980,980,5.068915e+06,0.0,5068915,5068915
80,407823,3,4,26,11607,20,0,8.666667,10.263203,11595,0,2901.75,5795.5005,28524.629,17.164309,67970.5,166123.88,407069,4,708,354.0,494.97476,704,4,407803,135934.33,234809.8,407069,4,0,0,0,0,72,92,7.3561325,9.808177,0,11595,1454.125,4097.5376,1.68e+07,0,0,0,1,0,0,0,0,1,1661.8572,8.666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
1521,12,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,666666.7,166666.67,12.0,0.0,12,12,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,83333.336,83333.336,2,6,3.3333333,2.309401,5.3333335,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
7435,47,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,127659.58,42553.19,47.0,0.0,47,47,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,21276.596,21276.596,0,6,2.0,3.4641016,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
5903,59,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,101694.914,33898.305,59.0,0.0,59,59,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,16949.152,16949.152,0,6,2.0,3.4641016,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
80,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.7,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.7,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
